cq_score,condition
6.086576629920669,mid
7.3501111849742875,mid
7.323620065539342,mid
5.252185723056252,mid
3.912941032232173,mid
3.6644055526110053,mid
4.088894046587589,mid
3.5910133111557334,mid
5.335754824437824,mid
3.9875907846613963,mid
4.852685864826295,mid
5.290186751537767,mid
3.4326823857841386,mid
7.827257841215405,mid
10.378753831873604,mid
7.046046882272152,mid
4.855710532493616,mid
5.345960004292081,mid
8.062915675762,mid
5.846030839419664,mid
4.437135367834797,mid
6.217739792735824,mid
6.197530369780531,mid
0.0,mid
10.244819342463858,mid
3.1962668713058893,mid
7.555694902618084,mid
6.514324010897996,mid
4.050155720788757,mid
2.8602164757720856,mid
6.225530433765451,mid
5.897495348350809,mid
4.863456329208879,mid
4.4271264346954275,mid
3.8797457458026487,mid
4.479645606851449,mid
7.1710620946515204,mid
6.226268378647684,mid
5.948895110989484,mid
8.44903046288854,mid
6.37131429743007,mid
8.659774284376278,mid
4.605168713035449,mid
4.121600953063577,mid
9.730356534626708,mid
6.946423674936572,mid
7.398341278541731,mid
11.688482997694392,mid
6.440605636283543,mid
10.91907618919457,mid
8.14288457091784,mid
7.79773775280481,mid
9.372701736136792,mid
5.079667848925046,mid
5.2904208308537,mid
4.990153498743687,mid
3.9285534909563755,mid
5.116063252921342,mid
5.8609407456861735,mid
8.274644000493673,mid
5.658273945537475,mid
9.068124248241345,mid
5.069637256138741,mid
7.324015193594569,mid
6.397388756188811,mid
5.533740747704371,mid
7.283596705538589,mid
11.121476797094981,mid
4.409812249114111,mid
7.956755041532508,mid
5.548866164023655,mid
7.445023188701322,mid
10.135654221998927,mid
5.114447576077261,mid
5.844858129099204,mid
5.481264347834163,mid
7.746347547118072,mid
4.486674551381361,mid
8.573546924257416,mid
7.868643185196471,mid
10.777253667170992,mid
10.395412039166589,mid
8.482147413564721,mid
4.933721246961398,mid
6.189718261519037,mid
6.103578774219066,mid
4.642606010206682,mid
6.087609019351115,mid
6.839296490112108,mid
5.355131549497569,mid
5.614992641794242,mid
5.105836661513088,mid
7.59088753763555,mid
8.758433293189062,mid
8.286104451836945,mid
8.601913571938749,mid
7.385800051490659,mid
9.073259052946332,mid
5.903278698146989,mid
6.7676654657123745,mid
5.064335968390003,mid
8.811519861130122,mid
5.675669283900182,mid
6.475364322878441,mid
7.554673242956657,mid
6.604752444066877,mid
8.07969804818215,mid
6.669235136661013,mid
3.4823724455351606,mid
6.506735830593213,mid
8.309603912139579,mid
5.649265350821924,mid
4.780718333828884,mid
11.42054916176657,mid
6.223962436147013,mid
4.744301550193503,mid
6.977573604505839,mid
12.338249424493192,mid
6.1893169809476305,mid
7.711814318190901,mid
4.894183516699853,mid
6.962143644097685,mid
9.952648501458409,mid
7.603501338610933,mid
11.593839756837358,mid
6.880463411447302,mid
11.187752285643665,mid
11.863227855168851,mid
5.056871156337363,mid
7.265325713516304,mid
4.480125847072376,mid
7.944133505476897,mid
8.355500296926147,mid
5.876653501063892,mid
6.145381491143303,mid
3.040307631808326,mid
5.06212053967467,mid
4.394698006154048,mid
3.624497174271591,mid
7.932806279191449,mid
9.796936927588794,mid
9.564759424535078,mid
10.395568097413268,mid
2.8755872118954113,mid
5.218308474608822,mid
4.604266011997249,mid
7.320420615458438,mid
5.303933540181895,mid
7.12771523701873,mid
5.479978073228795,mid
8.07786788023006,mid
9.555351946897428,mid
